"CountryCode","NAME","englishSpeaking"
"ABW","Aruba","F"
"AIA","Anguilla","T"
"ANT","Netherlands Antilles","F"
"ASM","American Samoa","T"
"ATG","Antigua and Barbuda","T"
"AUS","Australia","T"
"BHR","Bahrain","F"
"BLZ","Belize","T"
"BMU","Bermuda","T"
"BRB","Barbados","T"
"BRN","Brunei","F"
"CAN","Canada","T"
"CCK","Cocos (Keeling) Islands","T"
"COK","Cook Islands","F"
"CXR","Christmas Island","T"
"CYM","Cayman Islands","T"
"DNK","Denmark","F"
"FLK","Falkland Islands","T"
"GBR","United Kingdom","T"
"GIB","Gibraltar","T"
"GUM","Guam","T"
"HKG","Hong Kong","T"
"IRL","Ireland","T"
"ISL","Iceland","F"
"JPN","Japan","F"
"KNA","Saint Kitts and Nevis","T"
"KWT","Kuwait","F"
"LCA","Saint Lucia","T"
"LSO","Lesotho","T"
"MAC","Macao","F"
"MCO","Monaco","F"
"MDV","Maldives","F"
"MHL","Marshall Islands","T"
"MLT","Malta","T"
"MNP","Northern Mariana Islands","T"
"MSR","Montserrat","T"
"MYS","Malaysia","F"
"NFK","Norfolk Island","T"
"NIU","Niue","T"
"NOR","Norway","F"
"NRU","Nauru","T"
"NZL","New Zealand","T"
"PLW","Palau","T"
"PRI","Puerto Rico","F"
"SHN","Saint Helena","T"
"SYC","Seychelles","T"
"TCA","Turks and Caicos Islands","T"
"TKL","Tokelau","T"
"TON","Tonga","T"
"TTO","Trinidad and Tobago","F"
"TUV","Tuvalu","T"
"UMI","United States Minor Outlying Islands","T"
"USA","United States","T"
"VCT","Saint Vincent and the Grenadines","T"
"VGB","Virgin Islands, British","T"
"VIR","Virgin Islands, U.S.","T"
"VUT","Vanuatu","T"
"WSM","Samoa","T"
"ZAF","South Africa","T"
"ZWE","Zimbabwe","T"
